mediaID,deploymentID,sequenceID,captureMethod,timestamp,filePath,fileName,fileMediatype,exifData,favourite,comments,_id
1c53a1ce-6052-4280-b63f-f953ead7d879,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:06:43+01:00,https://multimedia.agouti.eu/assets/1c53a1ce-6052-4280-b63f-f953ead7d879/file,20221209135711-IMG_0001.JPG,image/jpeg,,,,
9f260612-e38b-4ce1-b6d0-9344650d001b,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:06:44+01:00,https://multimedia.agouti.eu/assets/9f260612-e38b-4ce1-b6d0-9344650d001b/file,20221209135712-IMG_0002.JPG,image/jpeg,,,,
d0fac925-ee3a-45d6-bd4c-c123ebecb9d3,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:06:45+01:00,https://multimedia.agouti.eu/assets/d0fac925-ee3a-45d6-bd4c-c123ebecb9d3/file,20221209135715-IMG_0003.JPG,image/jpeg,,,,
3056252d-b93b-4ad8-88ce-b784178c9f30,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:06:45+01:00,https://multimedia.agouti.eu/assets/3056252d-b93b-4ad8-88ce-b784178c9f30/file,20221209135715-IMG_0004.JPG,image/jpeg,,,,
8985e8e6-063b-4564-982a-94569280ef62,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:06:46+01:00,https://multimedia.agouti.eu/assets/8985e8e6-063b-4564-982a-94569280ef62/file,20221209135715-IMG_0005.JPG,image/jpeg,,,,
5e7e6d08-f142-4fac-acac-17e894585f87,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:06:47+01:00,https://multimedia.agouti.eu/assets/5e7e6d08-f142-4fac-acac-17e894585f87/file,20221209135716-IMG_0006.JPG,image/jpeg,,,,
f3a88821-660a-45f2-8680-38c775af4cd4,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:07:57+01:00,https://multimedia.agouti.eu/assets/f3a88821-660a-45f2-8680-38c775af4cd4/file,20221209135716-IMG_0011.JPG,image/jpeg,,,,
1265ba4f-259e-4dd2-b713-edbf53c07df3,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:07:58+01:00,https://multimedia.agouti.eu/assets/1265ba4f-259e-4dd2-b713-edbf53c07df3/file,20221209135716-IMG_0012.JPG,image/jpeg,,,,
2a1525e9-9b5c-4b16-875f-93a17a476d0f,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:07:58+01:00,https://multimedia.agouti.eu/assets/2a1525e9-9b5c-4b16-875f-93a17a476d0f/file,20221209135716-IMG_0013.JPG,image/jpeg,,,,
62c7bbf1-a8d5-46a0-91a0-b4fd5df260f5,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:07:59+01:00,https://multimedia.agouti.eu/assets/62c7bbf1-a8d5-46a0-91a0-b4fd5df260f5/file,20221209135717-IMG_0014.JPG,image/jpeg,,,,
abf0d52a-f018-4dd7-8f04-db6a0733eaab,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:07:59+01:00,https://multimedia.agouti.eu/assets/abf0d52a-f018-4dd7-8f04-db6a0733eaab/file,20221209135718-IMG_0015.JPG,image/jpeg,,,,
92f9a14c-a103-4545-a0ab-9dbbb7182a3a,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:08:00+01:00,https://multimedia.agouti.eu/assets/92f9a14c-a103-4545-a0ab-9dbbb7182a3a/file,20221209135718-IMG_0016.JPG,image/jpeg,,,,
889ba23b-0623-4302-bff5-ec5eef39760f,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:08:01+01:00,https://multimedia.agouti.eu/assets/889ba23b-0623-4302-bff5-ec5eef39760f/file,20221209135718-IMG_0017.JPG,image/jpeg,,,,
ad987885-bda8-432b-8d9e-7c9b1d07377e,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:08:01+01:00,https://multimedia.agouti.eu/assets/ad987885-bda8-432b-8d9e-7c9b1d07377e/file,20221209135719-IMG_0018.JPG,image/jpeg,,,,
700b6a1b-cc42-4c64-ab00-5770e4371340,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:08:02+01:00,https://multimedia.agouti.eu/assets/700b6a1b-cc42-4c64-ab00-5770e4371340/file,20221209135719-IMG_0019.JPG,image/jpeg,,,,
275b7213-98f9-4143-b9c1-cb9a99933320,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,motion detection,2017-10-02T19:08:03+01:00,https://multimedia.agouti.eu/assets/275b7213-98f9-4143-b9c1-cb9a99933320/file,20221209135719-IMG_0020.JPG,image/jpeg,,,,
